Sitename: Bartlett Experimental Forest New Hampshire USA
Location: Latitude: 44.0646  Longitude: -71.2881  Elevation (masl): 272
Principal investigator: Andrew Richardson
Ecosystem type: DBF Deciduous Broadleaf Forests
File creation date: 15FEB2013
Data Policy -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data. 
In addition when publishing please acknowledge the agency that supported the research. --
File Origin - This file was created at Oak Ridge National Laboratory by the AmeriFlux and FLUXNET data management groups.
These groups are supported by the U.S. Department of Energy and National Aeronautics and Space Administration. 
This standardized file is identical in format to other standardized files provided here with a goal of aiding intersite comparisons  multi-site syntheses and modeling activities. 
Questions about these standardized files should be addressed to Tom Boden (bodenta@ornl.gov) .
YEAR, GAP, DTIME, DOY, HRMIN, UST, TA, WD, WS, NEE, FC, SFC, H, SH, LE, SLE, FG, TS1, TSdepth1, TS2, TSdepth2, PREC, RH, PRESS, CO2, VPD, SWC1, SWC2, Rn, PAR, Rg, Rgdif, PARout, RgOut, Rgl, RglOut, H2O, RE, GPP, CO2top, CO2height, APAR, PARdif, APARpct, ZL
2004,-1,4.10417,4,230,-9999,0.195,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.12500,4,300,-9999,-0.079,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.14583,4,330,-9999,-0.202,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.16667,4,400,-9999,-0.777,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.25,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.18750,4,430,-9999,-0.954,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.20833,4,500,-9999,-1.06,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.22917,4,530,-9999,-0.706,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.25000,4,600,-9999,-0.83,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.27083,4,630,-9999,-0.91,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.29167,4,700,-9999,-0.857,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,8,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.172,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.31250,4,730,-9999,-0.406,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,89,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.184,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.33333,4,800,-9999,-0.105,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,191,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.35417,4,830,-9999,0.39,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,287,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.37500,4,900,-9999,0.691,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,372,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.39583,4,930,-9999,0.885,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,442,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.41667,4,1000,-9999,2.114,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,497,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.43750,4,1030,-9999,1.831,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.27,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,535,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.45833,4,1100,-9999,2.38,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,556,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.47917,4,1130,-9999,2.733,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,558,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.50000,4,1200,-9999,2.901,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,542,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.52083,4,1230,-9999,3.158,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,509,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.54167,4,1300,-9999,2.945,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,458,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.56250,4,1330,-9999,2.565,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,391,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.58333,4,1400,-9999,2.282,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,310,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.60417,4,1430,-9999,1.946,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,217,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.62500,4,1500,-9999,1.805,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,115,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.185,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.64583,4,1530,-9999,1.221,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,22,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,1.181,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.66667,4,1600,-9999,0.832,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.68750,4,1630,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.70833,4,1700,-9999,0.249,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
2004,-1,4.72917,4,1730,-9999,0.098,-9999,-9999,-6999,-9999,-6999,-9999,-6999,-9999,-6999,-6999,1.3,5,-9999,10,-9999,-9999,-9999,-9999,-9999,-9999,-6999,-9999,0,-9999,-9999,-9999,-9999,-6999,-6999,-9999,-6999,0,-9999,24,-9999,-9999,-6999,-9999
